title,job_title_eng,deadline,employment_term,job_type,category,location,job_link
Chief Accountant,chief-accountant-52,28 October 2019,Temporary,Part time,Insurance,Yerevan,https://staff.am/en/chief-accountant-52
Accountant/HR,accountant-279,09 November 2019,Permanent,Full time,Accounting/Bookkeeping,Yerevan,https://staff.am/en/accountant-279
ACCOUNTANT-CONSULTANT,accountant-consultant,31 October 2019,Permanent,Full time,Accounting/Bookkeeping,Yerevan,https://staff.am/en/accountant-consultant
Chief Accountant,chief-accountant-51,06 November 2019,Permanent,Full time,Accounting/Bookkeeping,Yerevan,https://staff.am/en/chief-accountant-51
Accountant,accountant-278,02 November 2019,Permanent,Full time,Accounting/Bookkeeping,Yerevan,https://staff.am/en/accountant-278
Sales accountant,sales-accountant-1,16 October 2019,Permanent,Full time,Accounting/Bookkeeping,Yerevan,https://staff.am/en/sales-accountant-1
Junior accountant/Operator 1C,junior-accountantoperator-3,01 November 2019,Permanent,Full time,Accounting/Bookkeeping,Yerevan,https://staff.am/en/junior-accountantoperator-3
Accountant,accountant-276,15 October 2019,Permanent,Full time,Accounting/Bookkeeping,Yerevan,https://staff.am/en/accountant-276
Accountant,accountant-275,26 October 2019,Permanent,Full time,Accounting/Bookkeeping,Yerevan,https://staff.am/en/accountant-275
Deputy Chief Accountant,deputy-chief-accountant-3,26 October 2019,Permanent,Full time,Accounting/Bookkeeping,Yerevan,https://staff.am/en/deputy-chief-accountant-3
Assistant Accountant,assistant-accountant-4,25 October 2019,Permanent,Full time,Accounting/Bookkeeping,Yerevan,https://staff.am/en/assistant-accountant-4
Accountant,accountant-274,24 October 2019,Permanent,Full time,Accounting/Bookkeeping,Yerevan,https://staff.am/en/accountant-274
Chief Accountant,chief-accountant-50,11 October 2019,Permanent,Full time,Accounting/Bookkeeping,Vanadzor,https://staff.am/en/chief-accountant-50
Accountant,accountant-273,18 October 2019,Permanent,Full time,Accounting/Bookkeeping,Yerevan,https://staff.am/en/accountant-273
Accountant,accountant-270,17 October 2019,Permanent,Full time,Accounting/Bookkeeping,Yerevan,https://staff.am/en/accountant-270
Accountant,accountant-268,10 November 2019,Permanent,Full time,Accounting/Bookkeeping,Yerevan,https://staff.am/en/accountant-268
